made_at,reference_month,horizon_months,target,point,information_cutoff,p10,p25,p75,p90,model,model_version,git_sha,benchmark_name,benchmark_point,actual,note
2026-08-01T06:40:55.433641+00:00,2027-06,10,headline_mom,0.279,2026-06,,,,,seasonal_index_mom,v2-seasonal-index,b6625e1,seasonal_naive,-0.1,,h=10; release date not in calendar
2026-08-01T06:40:55.433641+00:00,2027-07,11,headline_mom,0.717,2026-06,,,,,seasonal_index_mom,v2-seasonal-index,b6625e1,seasonal_naive,1.3,,h=11; release date not in calendar
2026-08-01T06:40:55.433641+00:00,2027-08,12,headline_mom,0.049,2026-06,,,,,seasonal_index_mom,v2-seasonal-index,b6625e1,seasonal_naive,-0.1,,h=12; release date not in calendar
2026-08-01T06:40:55.450645+00:00,2026-08,0,headline_yoy,3.263,2026-06,,,,,seasonal_index_projection,v2-seasonal-index,b6625e1,random_walk,3.8,,h=0; prints 2026-09-30
2026-08-01T06:40:55.450645+00:00,2026-09,1,headline_yoy,3.311,2026-06,,,,,seasonal_index_projection,v2-seasonal-index,b6625e1,random_walk,3.8,,h=1; prints 2026-10-28
2026-08-01T06:40:55.450645+00:00,2026-10,2,headline_yoy,3.376,2026-06,,,,,seasonal_index_projection,v2-seasonal-index,b6625e1,random_walk,3.8,,h=2; prints 2026-11-25
2026-08-01T06:40:55.450645+00:00,2026-11,3,headline_yoy,3.357,2026-06,,,,,seasonal_index_projection,v2-seasonal-index,b6625e1,random_walk,3.8,,h=3; prints 2027-01-06
2026-08-01T06:40:55.450645+00:00,2026-12,4,headline_yoy,3.412,2026-06,,,,,seasonal_index_projection,v2-seasonal-index,b6625e1,random_walk,3.8,,h=4; release date not in calendar
2026-08-01T06:40:55.450645+00:00,2027-01,5,headline_yoy,3.118,2026-06,,,,,seasonal_index_projection,v2-seasonal-index,b6625e1,random_walk,3.8,,h=5; release date not in calendar
2026-08-01T06:40:55.450645+00:00,2027-02,6,headline_yoy,3.266,2026-06,,,,,seasonal_index_projection,v2-seasonal-index,b6625e1,random_walk,3.8,,h=6; release date not in calendar
2026-08-01T06:40:55.450645+00:00,2027-03,7,headline_yoy,2.499,2026-06,,,,,seasonal_index_projection,v2-seasonal-index,b6625e1,random_walk,3.8,,h=7; release date not in calendar
2026-08-01T06:40:55.450645+00:00,2027-04,8,headline_yoy,2.903,2026-06,,,,,seasonal_index_projection,v2-seasonal-index,b6625e1,random_walk,3.8,,h=8; release date not in calendar
2026-08-01T06:40:55.450645+00:00,2027-05,9,headline_yoy,3.378,2026-06,,,,,seasonal_index_projection,v2-seasonal-index,b6625e1,random_walk,3.8,,h=9; release date not in calendar
2026-08-01T06:40:55.450645+00:00,2027-06,10,headline_yoy,3.727,2026-06,,,,,seasonal_index_projection,v2-seasonal-index,b6625e1,random_walk,3.8,,h=10; release date not in calendar
2026-08-01T06:40:55.450645+00:00,2027-07,11,headline_yoy,3.74,2026-06,,,,,seasonal_index_projection,v2-seasonal-index,b6625e1,random_walk,3.8,,h=11; release date not in calendar
2026-08-01T06:40:55.450645+00:00,2027-08,12,headline_yoy,3.74,2026-06,,,,,seasonal_index_projection,v2-seasonal-index,b6625e1,random_walk,3.8,,h=12; release date not in calendar
2026-08-01T06:40:55.461648+00:00,2026-08,0,trimmed_mean_yoy,3.474,2026-06,,,,,index_projection,v1-index-projection,b6625e1,random_walk,3.6,,h=0; prints 2026-09-30
2026-08-01T06:40:55.461648+00:00,2026-09,1,trimmed_mean_yoy,3.513,2026-06,,,,,index_projection,v1-index-projection,b6625e1,random_walk,3.6,,h=1; prints 2026-10-28
2026-08-01T06:40:55.461648+00:00,2026-10,2,trimmed_mean_yoy,3.488,2026-06,,,,,index_projection,v1-index-projection,b6625e1,random_walk,3.6,,h=2; prints 2026-11-25
2026-08-01T06:40:55.461648+00:00,2026-11,3,trimmed_mean_yoy,3.541,2026-06,,,,,index_projection,v1-index-projection,b6625e1,random_walk,3.6,,h=3; prints 2027-01-06
2026-08-01T06:40:55.461648+00:00,2026-12,4,trimmed_mean_yoy,3.596,2026-06,,,,,index_projection,v1-index-projection,b6625e1,random_walk,3.6,,h=4; release date not in calendar
2026-08-01T06:40:55.461648+00:00,2027-01,5,trimmed_mean_yoy,3.576,2026-06,,,,,index_projection,v1-index-projection,b6625e1,random_walk,3.6,,h=5; release date not in calendar
2026-08-01T06:40:55.461648+00:00,2027-02,6,trimmed_mean_yoy,3.671,2026-06,,,,,index_projection,v1-index-projection,b6625e1,random_walk,3.6,,h=6; release date not in calendar
2026-08-01T06:40:55.461648+00:00,2027-03,7,trimmed_mean_yoy,3.719,2026-06,,,,,index_projection,v1-index-projection,b6625e1,random_walk,3.6,,h=7; release date not in calendar
2026-08-01T06:40:55.461648+00:00,2027-04,8,trimmed_mean_yoy,3.706,2026-06,,,,,index_projection,v1-index-projection,b6625e1,random_walk,3.6,,h=8; release date not in calendar
2026-08-01T06:40:55.461648+00:00,2027-05,9,trimmed_mean_yoy,3.626,2026-06,,,,,index_projection,v1-index-projection,b6625e1,random_walk,3.6,,h=9; release date not in calendar
2026-08-01T06:40:55.461648+00:00,2027-06,10,trimmed_mean_yoy,3.645,2026-06,,,,,index_projection,v1-index-projection,b6625e1,random_walk,3.6,,h=10; release date not in calendar
2026-08-01T06:40:55.461648+00:00,2027-07,11,trimmed_mean_yoy,3.645,2026-06,,,,,index_projection,v1-index-projection,b6625e1,random_walk,3.6,,h=11; release date not in calendar
2026-08-01T06:40:55.461648+00:00,2027-08,12,trimmed_mean_yoy,3.645,2026-06,,,,,index_projection,v1-index-projection,b6625e1,random_walk,3.6,,h=12; release date not in calendar
